pincode,address,address from api,districtname,statename,lat,lon
506145,"506145,TELANGANA,India","Jangaon, - 506145, Telangana, India",Warangal,TELANGANA,17.9486642,79.2670803
506169,"506169,TELANGANA,India","Jayashankar Bhupalapally, Manzoor Nagar - 506169, Telangana, India",Warangal,TELANGANA,18.4013814,79.8510629
506355,"506355,TELANGANA,India","Siddipet, - 506355, Telangana, India",Warangal,TELANGANA,17.9551356,78.9106429
506366,"506366,TELANGANA,India","Jayashankar Bhupalapally, - 506366, Telangana, India",Warangal,TELANGANA,18.3105486,79.6158776
506172,"506172,TELANGANA,India","Mulugu, - 506172, Telangana, India",Warangal,TELANGANA,18.1941385,80.5829685
506342,"506342,TELANGANA,India","Warangal Rural, - 506342, Telangana, India",Warangal,TELANGANA,18.0713305,79.7566739
506224,"506224,TELANGANA,India","Siddipet, - 506224, Telangana, India",Warangal,TELANGANA,17.8868562,79.0161338
506223,"506223,TELANGANA,India","Siddipet, - 506223, Telangana, India",Warangal,TELANGANA,17.9192841,78.9788621
506221,"506221,TELANGANA,India","Jangaon, - 506221, Telangana, India",Warangal,TELANGANA,17.761824,79.0538264
506371,"506371,TELANGANA,India","Warangal Urban, - 506371, Telangana, India",Warangal,TELANGANA,18.0622616,79.4938625
506352,"506352,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Warangal,TELANGANA,17.9236,79.607
506367,"506367,TELANGANA,India","Siddipet, - 506367, Telangana, India",Warangal,TELANGANA,17.9690281,79.0912608
506303,"506303,TELANGANA,India","Jangaon, - 506303, Telangana, India",Warangal,TELANGANA,17.6607288,79.156989
506244,"506244,TELANGANA,India","Jangaon, - 506244, Telangana, India",Warangal,TELANGANA,17.760115,79.2868268
506003,"506003,TELANGANA,India","Warangal Urban, - 506003, Telangana, India",Warangal,TELANGANA,17.9786816,79.5066921
506344,"506344,TELANGANA,India","Mulugu, - 506344, Telangana, India",Warangal,TELANGANA,18.2047581,80.3461611
506345,"506345,TELANGANA,India","Warangal Rural, - 506345, Telangana, India",Warangal,TELANGANA,18.1538795,79.8158447
506015,"506015,TELANGANA,India","Warangal Urban, - 506015, Telangana, India",Warangal,TELANGANA,18.0509834,79.5479016
506347,"506347,TELANGANA,India","Mulugu, - 506347, Telangana, India",Warangal,TELANGANA,18.191572,80.1898877
506349,"506349,TELANGANA,India","Warangal Rural, - 506349, Telangana, India",Warangal,TELANGANA,18.0446052,79.8611517
506252,"506252,TELANGANA,India","Jangaon, - 506252, Telangana, India",Warangal,TELANGANA,17.7113637,79.4035809
506165,"506165,TELANGANA,India","Mulugu, - 506165, Telangana, India",Warangal,TELANGANA,18.3307001,80.3715535
506301,"506301,TELANGANA,India","Jangaon, - 506301, Telangana, India",Warangal,TELANGANA,17.885573,79.2986512
506170,"506170,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Warangal,TELANGANA,18.1951,79.6402
506356,"506356,TELANGANA,India","Warangal Rural, - 506356, Telangana, India",Warangal,TELANGANA,18.2155824,79.6908724
506168,"506168,TELANGANA,India","Jayashankar Bhupalapally, - 506168, Telangana, India",Warangal,TELANGANA,18.3704001,79.8446873
506319,"506319,TELANGANA,India","Warangal Rural, - 506319, Telangana, India",Warangal,TELANGANA,18.135015,79.7467419
506391,"506391,TELANGANA,India","Warangal Rural, - 506391, Telangana, India",Warangal,TELANGANA,18.1588681,79.6151184
506175,"506175,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Warangal,TELANGANA,17.7505,79.1482
506011,"506011,TELANGANA,India","Warangal Urban, - 506011, Telangana, India",Warangal,TELANGANA,18.0058427,79.5735833
506348,"506348,TELANGANA,India","Warangal Rural, - 506348, Telangana, India",Warangal,TELANGANA,18.2182554,79.7131452
506370,"506370,TELANGANA,India","Warangal Urban, - 506370, Telangana, India",Warangal,TELANGANA,18.0239596,79.4834878
506302,"506302,TELANGANA,India","Jangaon, - 506302, Telangana, India",Warangal,TELANGANA,17.6360417,79.4329258
506142,"506142,TELANGANA,India","Warangal Urban, - 506142, Telangana, India",Warangal,TELANGANA,17.9746508,79.4095915
506004,"506004,TELANGANA,India","Kazipet, Kadipikonda (Pt) - 506004, Telangana, India",Warangal,TELANGANA,17.9810407,79.5258893
506143,"506143,TELANGANA,India","Warangal Urban, - 506143, Telangana, India",Warangal,TELANGANA,17.9460451,79.4792294
506201,"506201,TELANGANA,India","Jangaon, - 506201, Telangana, India",Warangal,TELANGANA,17.6861127,79.1461005
506001,"506001,TELANGANA,India","Warangal Urban, Warangal - 506001, Telangana, India",Warangal,TELANGANA,17.989684,79.5931886
506151,"506151,TELANGANA,India","Warangal Urban, - 506151, Telangana, India",Warangal,TELANGANA,17.9291727,79.4295977
506167,"506167,TELANGANA,India","Jangaon, Jangaon - 506167, Telangana, India",Warangal,TELANGANA,17.725297,79.1502426
506009,"506009,TELANGANA,India","Warangal Urban, - 506009, Telangana, India",Warangal,TELANGANA,18.0177895,79.5526899
506164,"506164,TELANGANA,India","Warangal Rural, - 506164, Telangana, India",Warangal,TELANGANA,18.0911031,79.6244862
505445,"505445,TELANGANA,India","Karimnagar, - 505445, Telangana, India",Karim Nagar,TELANGANA,18.5927303,79.0138948
505305,"505305,TELANGANA,India","Rajanna Sircilla, - 505305, Telangana, India",Karim Nagar,TELANGANA,18.5647639,78.7718258
505532,"505532,TELANGANA,India","Jagtial, - 505532, Telangana, India",Karim Nagar,TELANGANA,18.7766207,79.0494589
505330,"505330,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Karim Nagar,TELANGANA,18.7179,78.353
505531,"505531,TELANGANA,India","Karimnagar, - 505531, Telangana, India",Karim Nagar,TELANGANA,18.5090302,79.0476052
505466,"505466,TELANGANA,India","Siddipet, - 505466, Telangana, India",Karim Nagar,TELANGANA,18.0396462,79.2374083
505527,"505527,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Karim Nagar,TELANGANA,17.3267,79.7454
505460,"505460,TELANGANA,India","Jagtial, - 505460, Telangana, India",Karim Nagar,TELANGANA,18.9213097,78.8038039
505526,"505526,TELANGANA,India","Jagtial, - 505526, Telangana, India",Karim Nagar,TELANGANA,18.7573792,79.1470504
505306,"505306,TELANGANA,India","Jagtial, - 505306, Telangana, India",Karim Nagar,TELANGANA,18.676359,78.7152658
505450,"505450,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Karim Nagar,TELANGANA,18.7112,78.8748
505402,"505402,TELANGANA,India","Rajanna Sircilla, - 505402, Telangana, India",Karim Nagar,TELANGANA,18.3500509,78.9387182
505524,"505524,TELANGANA,India","Karimnagar, - 505524, Telangana, India",Karim Nagar,TELANGANA,18.4535816,79.0453618
505469,"505469,TELANGANA,India","Karimnagar, - 505469, Telangana, India",Karim Nagar,TELANGANA,18.3821554,79.2106332
505302,"505302,TELANGANA,India","Rajanna Sircilla, - 505302, Telangana, India",Karim Nagar,TELANGANA,18.3560002,78.7685609
505455,"505455,TELANGANA,India","Jagtial, - 505455, Telangana, India",Karim Nagar,TELANGANA,18.7887764,78.9129918
505001,"505001,TELANGANA,India","Karimnagar, Karimnagar - 505001, Telangana, India",Karim Nagar,TELANGANA,18.4434185,79.1297201
505452,"505452,TELANGANA,India","Jagtial, - 505452, Telangana, India",Karim Nagar,TELANGANA,18.7108205,78.9227097
505415,"505415,TELANGANA,India","Karimnagar, - 505415, Telangana, India",Karim Nagar,TELANGANA,18.5196827,79.1421875
505529,"505529,TELANGANA,India","Jagtial, - 505529, Telangana, India",Karim Nagar,TELANGANA,18.8776969,78.9425123
505401,"505401,TELANGANA,India","Karimnagar, - 505401, Telangana, India",Karim Nagar,TELANGANA,18.4440852,78.9943922
505325,"505325,TELANGANA,India","Jagtial, - 505325, Telangana, India",Karim Nagar,TELANGANA,18.7783343,78.7508824
505405,"505405,TELANGANA,India","Rajanna Sircilla, - 505405, Telangana, India",Karim Nagar,TELANGANA,18.3267096,78.8487308
505403,"505403,TELANGANA,India","Rajanna Sircilla, - 505403, Telangana, India",Karim Nagar,TELANGANA,18.5721288,78.7767235
505303,"505303,TELANGANA,India","Rajanna Sircilla, - 505303, Telangana, India",Karim Nagar,TELANGANA,18.4732466,78.740258
505404,"505404,TELANGANA,India","Rajanna Sircilla, - 505404, Telangana, India",Karim Nagar,TELANGANA,18.3150067,78.7779816
505473,"505473,TELANGANA,India","Siddipet, - 505473, Telangana, India",Karim Nagar,TELANGANA,18.1682975,79.0501467
505454,"505454,TELANGANA,India","Jagtial, - 505454, Telangana, India",Karim Nagar,TELANGANA,18.844577,79.0805549
505528,"505528,TELANGANA,India","Siddipet, - 505528, Telangana, India",Karim Nagar,TELANGANA,18.2474281,79.0221262
505453,"505453,TELANGANA,India","Jagtial, - 505453, Telangana, India",Karim Nagar,TELANGANA,18.7907569,78.784744
505462,"505462,TELANGANA,India","Jagtial, - 505462, Telangana, India",Karim Nagar,TELANGANA,18.7757383,78.6655037
505301,"505301,TELANGANA,India","Rajanna Sircilla, - 505301, Telangana, India",Karim Nagar,TELANGANA,18.4131923,78.7812413
505501,"505501,TELANGANA,India","Jagtial, - 505501, Telangana, India",Karim Nagar,TELANGANA,18.615667,78.9226377
505467,"505467,TELANGANA,India","Karimnagar, - 505467, Telangana, India",Karim Nagar,TELANGANA,18.1648084,79.261363
505331,"505331,TELANGANA,India","Jagtial, - 505331, Telangana, India",Karim Nagar,TELANGANA,18.960098,78.7037358
505304,"505304,TELANGANA,India","Rajanna Sircilla, - 505304, Telangana, India",Karim Nagar,TELANGANA,18.3519019,78.6125787
505451,"505451,TELANGANA,India","Karimnagar, - 505451, Telangana, India",Karim Nagar,TELANGANA,18.4948355,79.0932016
505425,"505425,TELANGANA,India","Jagtial, - 505425, Telangana, India",Karim Nagar,TELANGANA,18.8769274,79.0871425
505530,"505530,TELANGANA,India","Siddipet, - 505530, Telangana, India",Karim Nagar,TELANGANA,18.3211469,79.0461118
505481,"505481,TELANGANA,India","Ward 59 Mailardevpally, Hyderabad - 500052, Telangana, India",Karim Nagar,TELANGANA,18.26,79.1478
505327,"505327,TELANGANA,India","Jagtial, Jagtial - 505327, Telangana, India",Karim Nagar,TELANGANA,18.7983475,78.9221937
505307,"505307,TELANGANA,India","Rajanna Sircilla, - 505307, Telangana, India",Karim Nagar,TELANGANA,18.6260498,78.7026701
505326,"505326,TELANGANA,India","Jagtial, - 505326, Telangana, India",Karim Nagar,TELANGANA,18.8247239,78.7219034
